starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 21 21:57:28 2019	1574391448	0	3418	3418	3418
Thu Nov 21 21:57:27 2019	1574391447	0	3422	3422	3422
Thu Nov 21 21:57:28 2019	1574391448	0	3424	3424	3424
Thu Nov 21 21:57:13 2019	1574391433	0	3425	3425	3425
Thu Nov 21 21:57:13 2019	1574391433	0	3426	3426	3426
Thu Nov 21 21:57:14 2019	1574391434	0	3436	3437	3436
Thu Nov 21 21:57:14 2019	1574391434	0	3445	3445	3445
Thu Nov 21 21:57:14 2019	1574391434	0	3447	3447	3447
Thu Nov 21 21:57:14 2019	1574391434	0	3449	3449	3448
Thu Nov 21 21:57:27 2019	1574391447	0	3450	3451	3450
Thu Nov 21 21:57:14 2019	1574391434	0	3466	3466	3466
Thu Nov 21 21:57:10 2019	1574391430	0	3466	3466	3466
Thu Nov 21 21:57:27 2019	1574391447	0	3475	3475	3475
Thu Nov 21 21:57:14 2019	1574391434	0	3482	3482	3481
Thu Nov 21 21:57:14 2019	1574391434	0	3484	3484	3484
Thu Nov 21 21:57:15 2019	1574391435	0	3488	3488	3488
Thu Nov 21 21:57:27 2019	1574391447	0	3492	3492	3492
Thu Nov 21 21:57:25 2019	1574391445	0	3493	3493	3492
Thu Nov 21 21:57:28 2019	1574391448	0	3503	3503	3503
Thu Nov 21 21:57:27 2019	1574391447	0	3505	3505	3505
Thu Nov 21 21:57:13 2019	1574391433	0	3524	3524	3524
Thu Nov 21 21:57:21 2019	1574391441	0	3533	3534	3533
Thu Nov 21 21:57:17 2019	1574391437	0	3545	3545	3545
Thu Nov 21 21:57:20 2019	1574391440	0	3557	3557	3557
Thu Nov 21 21:57:10 2019	1574391430	0	3565	3565	3565
Thu Nov 21 21:57:24 2019	1574391444	0	3567	3567	3566
Thu Nov 21 21:57:22 2019	1574391442	0	3569	3569	3569
Thu Nov 21 21:57:17 2019	1574391437	0	3570	3570	3570
Thu Nov 21 21:57:21 2019	1574391441	1	3576	3576	3576
Thu Nov 21 21:57:15 2019	1574391435	0	3583	3583	3583
Thu Nov 21 21:57:28 2019	1574391448	0	3589	3589	3589
Thu Nov 21 21:57:10 2019	1574391430	0	3594	3594	3591
Thu Nov 21 21:57:18 2019	1574391438	0	3607	3608	3607
Thu Nov 21 21:57:27 2019	1574391447	0	3614	3614	3614
Thu Nov 21 21:57:12 2019	1574391432	0	3618	3618	3618
Thu Nov 21 21:57:17 2019	1574391437	0	3620	3620	3620
Thu Nov 21 21:57:21 2019	1574391441	0	3626	3626	3626
Thu Nov 21 21:57:21 2019	1574391441	0	3627	3627	3627
Thu Nov 21 21:57:14 2019	1574391434	0	3628	3628	3628
Thu Nov 21 21:57:24 2019	1574391444	0	3633	3633	3630
Thu Nov 21 21:57:14 2019	1574391434	0	3634	3634	3634
Thu Nov 21 21:57:18 2019	1574391438	0	3642	3642	3642
Thu Nov 21 21:57:13 2019	1574391433	0	3643	3643	3643
Thu Nov 21 21:57:21 2019	1574391441	0	3648	3648	3648
Thu Nov 21 21:57:16 2019	1574391436	0	3650	3651	3650
Thu Nov 21 21:57:10 2019	1574391430	0	3655	3656	3653
Thu Nov 21 21:57:16 2019	1574391436	0	3661	3661	3661
Thu Nov 21 21:57:23 2019	1574391443	0	3668	3668	3668
Thu Nov 21 21:57:14 2019	1574391434	0	3682	3682	3682
Thu Nov 21 21:57:27 2019	1574391447	0	3701	3701	3701
Thu Nov 21 21:57:25 2019	1574391445	0	3721	3721	3721
Thu Nov 21 21:57:25 2019	1574391445	0	3723	3723	3723
Thu Nov 21 21:57:27 2019	1574391447	0	3734	3734	3734
Thu Nov 21 21:57:11 2019	1574391431	0	3737	3738	3737
Thu Nov 21 21:57:27 2019	1574391447	0	3745	3745	3745
Thu Nov 21 21:57:16 2019	1574391436	0	3747	3747	3747
Thu Nov 21 21:57:25 2019	1574391445	0	3750	3750	3750
Thu Nov 21 21:57:24 2019	1574391444	0	3755	3755	3754
Thu Nov 21 21:57:16 2019	1574391436	0	3781	3781	3781
Thu Nov 21 21:57:17 2019	1574391437	0	3787	3787	3787
Thu Nov 21 21:57:27 2019	1574391447	0	3802	3802	3802
Thu Nov 21 21:57:21 2019	1574391441	0	3810	3810	3810
Thu Nov 21 21:57:17 2019	1574391437	0	3813	3813	3813
Thu Nov 21 21:57:16 2019	1574391436	0	3817	3817	3816
Thu Nov 21 21:57:18 2019	1574391438	0	3825	3825	3825
Thu Nov 21 21:57:14 2019	1574391434	0	3831	3832	3831
Thu Nov 21 21:57:11 2019	1574391431	0	3844	3844	3844
Thu Nov 21 21:57:16 2019	1574391436	0	3844	3844	3844
Thu Nov 21 21:57:12 2019	1574391432	0	3865	3865	3865
Thu Nov 21 21:57:25 2019	1574391445	0	3867	3867	3867
Thu Nov 21 21:57:10 2019	1574391430	0	3873	3873	3873
Thu Nov 21 21:57:19 2019	1574391439	0	3875	3875	3875
Thu Nov 21 21:57:16 2019	1574391436	0	3877	3877	3876
Thu Nov 21 21:57:16 2019	1574391436	0	3890	3890	3890
Thu Nov 21 21:57:18 2019	1574391438	0	3896	3896	3896
Thu Nov 21 21:57:11 2019	1574391431	0	3952	3952	3951
Thu Nov 21 21:57:05 2019	1574391425	3	3952	3955	3952
Thu Nov 21 21:57:21 2019	1574391441	0	3958	3958	3958
Thu Nov 21 21:57:14 2019	1574391434	0	3975	3976	3975
Thu Nov 21 21:57:24 2019	1574391444	0	3991	3992	3988
Thu Nov 21 21:57:22 2019	1574391442	0	3997	3997	3997
Thu Nov 21 21:57:26 2019	1574391446	0	4000	4000	4000
Thu Nov 21 21:57:24 2019	1574391444	0	4001	4001	4001
Thu Nov 21 21:57:23 2019	1574391443	0	4015	4015	4015
Thu Nov 21 21:57:14 2019	1574391434	0	4022	4022	4022
Thu Nov 21 21:57:26 2019	1574391446	0	4025	4025	4024
Thu Nov 21 21:57:21 2019	1574391441	0	4035	4035	4035
Thu Nov 21 21:57:20 2019	1574391440	0	4038	4038	4038
Thu Nov 21 21:57:11 2019	1574391431	0	4041	4041	4041
Thu Nov 21 21:57:11 2019	1574391431	0	4048	4048	4048
Thu Nov 21 21:57:11 2019	1574391431	0	4055	4055	4054
Thu Nov 21 21:57:26 2019	1574391446	0	4071	4071	4070
Thu Nov 21 21:57:22 2019	1574391442	0	4078	4079	4078
Thu Nov 21 21:57:26 2019	1574391446	0	4080	4080	4079
Thu Nov 21 21:57:23 2019	1574391443	0	4103	4103	4102
Thu Nov 21 21:57:10 2019	1574391430	0	4114	4114	4114
Thu Nov 21 21:57:12 2019	1574391432	0	4114	4114	4114
Thu Nov 21 21:57:23 2019	1574391443	0	4118	4118	4118
Thu Nov 21 21:57:25 2019	1574391445	0	4121	4121	4120
Thu Nov 21 21:57:27 2019	1574391447	0	4125	4125	4125
Thu Nov 21 21:57:26 2019	1574391446	0	4142	4142	4142
Thu Nov 21 21:57:27 2019	1574391447	0	4146	4146	4146
Thu Nov 21 21:57:14 2019	1574391434	0	4154	4154	4153
Thu Nov 21 21:57:27 2019	1574391447	0	4161	4162	4161
Thu Nov 21 21:57:21 2019	1574391441	0	4165	4165	4165
Thu Nov 21 21:57:27 2019	1574391447	0	4177	4177	4177
Thu Nov 21 21:57:13 2019	1574391433	0	4181	4181	4181
Thu Nov 21 21:57:26 2019	1574391446	0	4190	4190	4190
Thu Nov 21 21:57:21 2019	1574391441	0	4204	4204	4204
Thu Nov 21 21:57:16 2019	1574391436	0	4208	4208	4206
Thu Nov 21 21:57:15 2019	1574391435	0	4224	4224	4224
Thu Nov 21 21:57:10 2019	1574391430	0	4224	4224	4224
Thu Nov 21 21:57:17 2019	1574391437	0	4227	4227	4227
Thu Nov 21 21:57:21 2019	1574391441	0	4229	4229	4229
Thu Nov 21 21:57:17 2019	1574391437	0	4233	4233	4232
Thu Nov 21 21:57:19 2019	1574391439	0	4248	4248	4248
Thu Nov 21 21:57:10 2019	1574391430	0	4254	4254	4254
Thu Nov 21 21:57:14 2019	1574391434	0	4259	4259	4259
Thu Nov 21 21:57:17 2019	1574391437	0	4259	4259	4259
Thu Nov 21 21:57:25 2019	1574391445	0	4272	4272	4272
Thu Nov 21 21:57:18 2019	1574391438	0	4275	4275	4275
Thu Nov 21 21:57:26 2019	1574391446	0	4280	4281	4280
Thu Nov 21 21:57:25 2019	1574391445	0	4284	4284	4284
Thu Nov 21 21:57:17 2019	1574391437	0	4284	4284	4284
Thu Nov 21 21:57:24 2019	1574391444	0	4285	4285	4285
Thu Nov 21 21:57:14 2019	1574391434	0	4286	4287	4286
Thu Nov 21 21:57:20 2019	1574391440	0	4288	4288	4288
Thu Nov 21 21:57:16 2019	1574391436	0	4289	4289	4288
Thu Nov 21 21:57:19 2019	1574391439	0	4296	4296	4296
Thu Nov 21 21:57:17 2019	1574391437	0	4299	4299	4299
Thu Nov 21 21:57:14 2019	1574391434	0	4307	4307	4306
Thu Nov 21 21:57:21 2019	1574391441	0	4309	4309	4309
Thu Nov 21 21:57:26 2019	1574391446	0	4311	4312	4311
Thu Nov 21 21:57:16 2019	1574391436	0	4314	4314	4314
Thu Nov 21 21:57:20 2019	1574391440	0	4321	4321	4321
Thu Nov 21 21:57:23 2019	1574391443	0	4338	4338	4338
Thu Nov 21 21:57:20 2019	1574391440	0	4347	4347	4346
Thu Nov 21 21:57:25 2019	1574391445	0	4366	4366	4366
Thu Nov 21 21:57:23 2019	1574391443	0	4371	4371	4371
Thu Nov 21 21:57:16 2019	1574391436	0	4382	4382	4381
Thu Nov 21 21:57:11 2019	1574391431	0	4394	4394	4393
Thu Nov 21 21:57:18 2019	1574391438	0	4401	4401	4401
Thu Nov 21 21:57:17 2019	1574391437	0	4403	4403	4403
Thu Nov 21 21:57:20 2019	1574391440	0	4411	4411	4411
Thu Nov 21 21:57:05 2019	1574391425	5	4419	4424	4412
Thu Nov 21 21:57:15 2019	1574391435	0	4433	4433	4432
Thu Nov 21 21:57:19 2019	1574391439	0	4442	4442	4442
Thu Nov 21 21:57:13 2019	1574391433	0	4443	4443	4443
Thu Nov 21 21:57:05 2019	1574391425	3	4440	4444	4440
Thu Nov 21 21:57:25 2019	1574391445	0	4452	4452	4452
Thu Nov 21 21:57:11 2019	1574391431	0	4468	4468	4468
Thu Nov 21 21:57:24 2019	1574391444	0	4474	4474	4474
Thu Nov 21 21:57:24 2019	1574391444	0	4474	4474	4474
Thu Nov 21 21:57:27 2019	1574391447	0	4475	4475	4475
Thu Nov 21 21:57:24 2019	1574391444	0	4475	4475	4475
Thu Nov 21 21:57:05 2019	1574391425	3	4478	4481	4478
Thu Nov 21 21:57:15 2019	1574391435	0	4498	4498	4498
Thu Nov 21 21:57:05 2019	1574391425	3	4504	4507	4504
Thu Nov 21 21:57:22 2019	1574391442	0	4511	4512	4511
Thu Nov 21 21:57:17 2019	1574391437	0	4519	4519	4519
Thu Nov 21 21:57:27 2019	1574391447	0	4528	4528	4528
Thu Nov 21 21:57:26 2019	1574391446	0	4576	4576	4576
Thu Nov 21 21:57:14 2019	1574391434	7	4571	4578	4571
Thu Nov 21 21:57:24 2019	1574391444	0	4581	4581	4581
Thu Nov 21 21:57:05 2019	1574391425	3	4588	4592	4588
Thu Nov 21 21:57:18 2019	1574391438	0	4595	4595	4595
Thu Nov 21 21:57:14 2019	1574391434	0	4596	4596	4596
Thu Nov 21 21:57:15 2019	1574391435	0	4596	4596	4595
Thu Nov 21 21:57:05 2019	1574391425	3	4597	4600	4597
Thu Nov 21 21:57:26 2019	1574391446	0	4604	4604	4604
Thu Nov 21 21:57:20 2019	1574391440	0	4620	4620	4619
Thu Nov 21 21:57:11 2019	1574391431	0	4634	4634	4634
Thu Nov 21 21:57:26 2019	1574391446	0	4644	4644	4644
Thu Nov 21 21:57:19 2019	1574391439	0	4667	4668	4667
Thu Nov 21 21:57:20 2019	1574391440	0	4670	4670	4669
Thu Nov 21 21:57:26 2019	1574391446	0	4674	4674	4674
Thu Nov 21 21:57:25 2019	1574391445	0	4685	4685	4685
Thu Nov 21 21:57:22 2019	1574391442	0	4686	4686	4686
Thu Nov 21 21:57:24 2019	1574391444	0	4692	4692	4692
Thu Nov 21 21:57:26 2019	1574391446	0	4692	4692	4692
Thu Nov 21 21:57:24 2019	1574391444	0	4692	4693	4692
Thu Nov 21 21:57:24 2019	1574391444	0	4694	4694	4694
Thu Nov 21 21:57:26 2019	1574391446	0	4715	4715	4715
Thu Nov 21 21:57:16 2019	1574391436	0	4718	4718	4718
Thu Nov 21 21:57:24 2019	1574391444	0	4721	4721	4720
Thu Nov 21 21:57:10 2019	1574391430	0	4727	4727	4727
Thu Nov 21 21:57:14 2019	1574391434	0	4730	4730	4730
Thu Nov 21 21:57:24 2019	1574391444	0	4730	4730	4730
Thu Nov 21 21:57:24 2019	1574391444	0	4733	4734	4733
Thu Nov 21 21:57:19 2019	1574391439	0	4748	4749	4748
Thu Nov 21 21:57:11 2019	1574391431	0	4760	4760	4760
Thu Nov 21 21:57:11 2019	1574391431	0	4778	4778	4778
Thu Nov 21 21:57:23 2019	1574391443	0	4786	4786	4786
Thu Nov 21 21:57:05 2019	1574391425	5	4785	4789	4785
Thu Nov 21 21:57:19 2019	1574391439	0	4799	4799	4798
Thu Nov 21 21:57:21 2019	1574391441	0	4804	4804	4804
Thu Nov 21 21:57:25 2019	1574391445	0	4813	4813	4813
Thu Nov 21 21:57:26 2019	1574391446	0	4814	4814	4813
Thu Nov 21 21:57:26 2019	1574391446	0	4817	4817	4816
Thu Nov 21 21:57:14 2019	1574391434	0	4826	4826	4826
Thu Nov 21 21:57:16 2019	1574391436	0	4828	4828	4828
Thu Nov 21 21:57:20 2019	1574391440	0	4830	4830	4830
Thu Nov 21 21:57:26 2019	1574391446	0	4836	4836	4836
Thu Nov 21 21:57:15 2019	1574391435	0	4843	4843	4843
Thu Nov 21 21:57:26 2019	1574391446	0	4845	4845	4845
Thu Nov 21 21:57:18 2019	1574391438	0	4848	4848	4848
Thu Nov 21 21:57:05 2019	1574391425	3	4850	4853	4848
Thu Nov 21 21:57:05 2019	1574391425	4	4855	4859	4855
Thu Nov 21 21:57:16 2019	1574391436	0	4869	4869	4869
Thu Nov 21 21:57:05 2019	1574391425	4	4874	4878	4868
Thu Nov 21 21:57:24 2019	1574391444	0	4880	4880	4880
Thu Nov 21 21:57:05 2019	1574391425	3	4877	4880	4877
Thu Nov 21 21:57:25 2019	1574391445	0	4880	4880	4880
Thu Nov 21 21:57:26 2019	1574391446	0	4883	4883	4882
Thu Nov 21 21:57:21 2019	1574391441	0	4884	4884	4883
Thu Nov 21 21:57:26 2019	1574391446	0	4895	4895	4895
Thu Nov 21 21:57:15 2019	1574391435	0	4897	4897	4897
Thu Nov 21 21:57:05 2019	1574391425	5	4897	4901	4896
Thu Nov 21 21:57:23 2019	1574391443	0	4911	4911	4911
Thu Nov 21 21:57:11 2019	1574391431	0	4913	4913	4913
Thu Nov 21 21:57:14 2019	1574391434	0	4919	4919	4918
Thu Nov 21 21:57:26 2019	1574391446	0	4924	4924	4924
Thu Nov 21 21:57:17 2019	1574391437	0	4925	4925	4924
Thu Nov 21 21:57:05 2019	1574391425	4	4923	4926	4921
Thu Nov 21 21:57:17 2019	1574391437	0	4942	4942	4942
Thu Nov 21 21:57:05 2019	1574391425	3	4942	4945	4942
Thu Nov 21 21:57:23 2019	1574391443	0	4959	4959	4958
Thu Nov 21 21:57:26 2019	1574391446	0	4974	4974	4974
Thu Nov 21 21:57:16 2019	1574391436	0	4987	4987	4987
Thu Nov 21 21:57:16 2019	1574391436	0	5000	5000	4999
Thu Nov 21 21:57:22 2019	1574391442	0	5002	5002	5002
Thu Nov 21 21:57:22 2019	1574391442	0	5003	5003	5003
Thu Nov 21 21:57:26 2019	1574391446	0	5017	5017	5017
Thu Nov 21 21:57:15 2019	1574391435	0	5028	5029	5028
Thu Nov 21 21:57:12 2019	1574391432	0	5037	5037	5037
Thu Nov 21 21:57:16 2019	1574391436	0	5040	5040	5040
Thu Nov 21 21:57:14 2019	1574391434	0	5063	5063	5063
Thu Nov 21 21:57:20 2019	1574391440	0	5066	5066	5066
Thu Nov 21 21:57:21 2019	1574391441	0	5069	5069	5069
Thu Nov 21 21:57:17 2019	1574391437	0	5073	5073	5073
Thu Nov 21 21:57:21 2019	1574391441	0	5080	5080	5080
Thu Nov 21 21:57:05 2019	1574391425	3	5085	5089	5085
Thu Nov 21 21:57:17 2019	1574391437	0	5089	5089	5089
Thu Nov 21 21:57:18 2019	1574391438	0	5101	5101	5101
Thu Nov 21 21:57:16 2019	1574391436	0	5106	5106	5106
Thu Nov 21 21:57:16 2019	1574391436	0	5110	5110	5110
Thu Nov 21 21:57:14 2019	1574391434	0	5110	5110	5110
Thu Nov 21 21:57:21 2019	1574391441	0	5121	5121	5119
Thu Nov 21 21:57:17 2019	1574391437	0	5121	5121	5121
Thu Nov 21 21:57:08 2019	1574391428	1	5131	5132	5131
Thu Nov 21 21:57:19 2019	1574391439	0	5144	5144	5143
Thu Nov 21 21:57:26 2019	1574391446	0	5146	5146	5146
Thu Nov 21 21:57:11 2019	1574391431	0	5160	5160	5160
Thu Nov 21 21:57:20 2019	1574391440	0	5164	5164	5164
Thu Nov 21 21:57:21 2019	1574391441	0	5165	5166	5165
Thu Nov 21 21:57:05 2019	1574391425	3	5164	5168	5164
Thu Nov 21 21:57:21 2019	1574391441	0	5168	5168	5168
Thu Nov 21 21:57:21 2019	1574391441	0	5172	5172	5172
Thu Nov 21 21:57:15 2019	1574391435	0	5173	5173	5173
Thu Nov 21 21:57:10 2019	1574391430	0	5176	5176	5176
Thu Nov 21 21:57:12 2019	1574391432	0	5182	5183	5182
Thu Nov 21 21:57:16 2019	1574391436	0	5184	5184	5184
Thu Nov 21 21:57:11 2019	1574391431	0	5202	5202	5202
Thu Nov 21 21:57:11 2019	1574391431	0	5203	5203	5203
Thu Nov 21 21:57:25 2019	1574391445	0	5225	5225	5224
Thu Nov 21 21:57:16 2019	1574391436	0	5231	5231	5231
Thu Nov 21 21:57:11 2019	1574391431	0	5235	5235	5235
Thu Nov 21 21:57:05 2019	1574391425	3	5238	5241	5238
Thu Nov 21 21:57:21 2019	1574391441	0	5249	5249	5249
Thu Nov 21 21:57:26 2019	1574391446	0	5253	5253	5253
Thu Nov 21 21:57:05 2019	1574391425	3	5253	5256	5253
Thu Nov 21 21:57:15 2019	1574391435	0	5257	5257	5257
Thu Nov 21 21:57:14 2019	1574391434	0	5265	5265	5265
Thu Nov 21 21:57:18 2019	1574391438	0	5266	5266	5265
Thu Nov 21 21:57:05 2019	1574391425	3	5266	5269	5266
Thu Nov 21 21:57:05 2019	1574391425	4	5269	5273	5269
Thu Nov 21 21:57:05 2019	1574391425	3	5270	5273	5270
Thu Nov 21 21:57:15 2019	1574391435	0	5293	5293	5292
Thu Nov 21 21:57:16 2019	1574391436	0	5296	5296	5296
Thu Nov 21 21:57:10 2019	1574391430	0	5305	5305	5305
Thu Nov 21 21:57:21 2019	1574391441	0	5321	5321	5321
Thu Nov 21 21:57:16 2019	1574391436	0	5326	5326	5326
Thu Nov 21 21:57:18 2019	1574391438	0	5326	5327	5326
Thu Nov 21 21:57:05 2019	1574391425	5	5350	5355	5349
Thu Nov 21 21:57:20 2019	1574391440	0	5362	5362	5354
Thu Nov 21 21:57:16 2019	1574391436	0	5367	5367	5367
Thu Nov 21 21:57:12 2019	1574391432	0	5394	5394	5394
Thu Nov 21 21:57:16 2019	1574391436	0	5397	5397	5397
Thu Nov 21 21:57:14 2019	1574391434	0	5410	5410	5410
Thu Nov 21 21:57:23 2019	1574391443	0	5412	5412	5412
Thu Nov 21 21:57:25 2019	1574391445	0	5413	5413	5412
Thu Nov 21 21:57:19 2019	1574391439	0	5422	5422	5422
Thu Nov 21 21:57:22 2019	1574391442	0	5424	5424	5424
Thu Nov 21 21:57:25 2019	1574391445	0	5458	5458	5458
Thu Nov 21 21:57:12 2019	1574391432	0	5462	5462	5462
Thu Nov 21 21:57:05 2019	1574391425	3	5465	5468	5464
Thu Nov 21 21:57:12 2019	1574391432	0	5479	5479	5479
Thu Nov 21 21:57:19 2019	1574391439	0	5482	5482	5482
Thu Nov 21 21:57:25 2019	1574391445	0	5499	5499	5499
Thu Nov 21 21:57:22 2019	1574391442	0	5504	5504	5499
Thu Nov 21 21:57:25 2019	1574391445	0	5526	5526	5526
Thu Nov 21 21:57:21 2019	1574391441	0	5534	5534	5534
Thu Nov 21 21:57:25 2019	1574391445	0	5535	5535	5535
Thu Nov 21 21:57:22 2019	1574391442	0	5542	5542	5542
Thu Nov 21 21:57:16 2019	1574391436	0	5542	5542	5542
Thu Nov 21 21:57:25 2019	1574391445	0	5567	5567	5567
Thu Nov 21 21:57:18 2019	1574391438	0	5578	5578	5578
Thu Nov 21 21:57:25 2019	1574391445	0	5582	5582	5582
Thu Nov 21 21:57:20 2019	1574391440	0	5587	5587	5587
Thu Nov 21 21:57:22 2019	1574391442	0	5593	5593	5592
Thu Nov 21 21:57:05 2019	1574391425	4	5592	5596	5592
Thu Nov 21 21:57:22 2019	1574391442	0	5609	5609	5608
Thu Nov 21 21:57:23 2019	1574391443	0	5617	5617	5617
Thu Nov 21 21:57:17 2019	1574391437	0	5617	5617	5617
Thu Nov 21 21:57:17 2019	1574391437	0	5628	5628	5628
Thu Nov 21 21:57:10 2019	1574391430	0	5636	5637	5636
Thu Nov 21 21:57:08 2019	1574391428	0	5640	5640	5615
Thu Nov 21 21:57:21 2019	1574391441	0	5669	5669	5669
Thu Nov 21 21:57:22 2019	1574391442	0	5694	5694	5694
Thu Nov 21 21:57:17 2019	1574391437	0	5698	5698	5698
Thu Nov 21 21:57:16 2019	1574391436	0	5704	5704	5704
Thu Nov 21 21:57:18 2019	1574391438	0	5707	5707	5706
Thu Nov 21 21:57:05 2019	1574391425	3	5706	5709	5706
Thu Nov 21 21:57:05 2019	1574391425	3	5708	5711	5708
Thu Nov 21 21:57:05 2019	1574391425	3	5710	5713	5710
Thu Nov 21 21:57:15 2019	1574391435	0	5715	5715	5715
Thu Nov 21 21:57:05 2019	1574391425	4	5712	5716	5712
Thu Nov 21 21:57:21 2019	1574391441	0	5725	5725	5725
Thu Nov 21 21:57:14 2019	1574391434	0	5733	5733	5733
Thu Nov 21 21:57:08 2019	1574391428	2	5735	5738	5735
Thu Nov 21 21:57:21 2019	1574391441	0	5753	5753	5753
Thu Nov 21 21:57:20 2019	1574391440	0	5757	5757	5757
Thu Nov 21 21:57:17 2019	1574391437	0	5767	5767	5767
Thu Nov 21 21:57:22 2019	1574391442	0	5781	5781	5779
Thu Nov 21 21:57:25 2019	1574391445	0	5792	5792	5791
Thu Nov 21 21:57:19 2019	1574391439	0	5802	5802	5802
Thu Nov 21 21:57:05 2019	1574391425	3	5802	5805	5802
Thu Nov 21 21:57:05 2019	1574391425	3	5803	5806	5803
Thu Nov 21 21:57:23 2019	1574391443	0	5819	5819	5819
Thu Nov 21 21:57:05 2019	1574391425	3	5884	5887	5884
Thu Nov 21 21:57:25 2019	1574391445	0	5912	5912	5912
Thu Nov 21 21:57:19 2019	1574391439	0	5927	5927	5927
Thu Nov 21 21:57:23 2019	1574391443	0	5965	5965	5965
